Ids,Name,Experience,Schedule,Keys,Description,Area,Professional roles,Specializations,Profarea names
50042876,администратор помощник специалист по системный расстановка,нет опыт,гибкий график,  русский язык    самодисциплина           написание статей                              пунктуальность    деловой общение    психология    навык межличностный общения    организация встреч    психология личности    организация мероприятий  ,необходимый помощник по организация расстановка по метод берт хеллингер обязанности  отвечать на вопрос пользователь в чат и директе  переписка с клиент по почта и по телефон выявление потребность клиента  помощь в организация мероприятие онлайн и офлайн  помощь в съёмка ролик черновой сценарий для тикток перевод с русский разговорный на русский письменный  основной запрос который можно проработать с рамка расстановок  личностный рост  как расслабиться и отпустить старое  лечение психосоматический заболеваний  стать более уверенный в себе  научиться ставить свои  цели  научиться видеть путь к свой цель и достигать ее  встретить второй половинку  гармонизация отношений  принятие себя  хотеть похудеть  избавиться от пищевой зависимость другой желание направить на себя требования  грамотный письменный и устный речь  навык деловой общение навык     навык организация мероприятие стабильный интернет быть на связь с 10 00 до 20 00 желательно  аккаунт в фб   инстаграм   тикток  с хороший активность если уметь базовый монтаж для тикток   отлично условия  свободный график испытательный срок два месяц оплата оклад     от продажа индивидуальный консультация и онлайн курс возможность самореализации  решение ваш личный запрос до результат с гарантия этап собеседования  сопроводительный письмо   я он быть читать переписка по почта личный встреча в письмо напишите  какой уровень понимание психологии  почему взять именно вас ,москва,  системный администратор  ,  начальный уровень  мало опыта    информационный технологии  интернет  мультимедиа    персональный ассистент    секретарь    психология    начальный уровень  мало опыта  ,  консультирование    начало карьеры  студенты    медицина  фармацевтика    информационный технологии  интернет  телеком    административный персонал  
49539585,специалист по создание маркетинговый описание  английский и французский языки ,нет опыт,полный день,  английский язык    французский язык    свободный владение английский языком    свободный владение французский языком  ,московский подразделение 1          искать сотрудник на должность                         1            лидер отрасль в область управление контентом  у мы более 550 сотрудник в сша  бразилии  канаде  франции  мексике  россии  швейцария и великобритании  основный функция                          создание встроить контент                  с помощь внутренний конструктор веб страниц  встраивать контент  часть набор продукт              предоставлять 1                             представлять себя контент производителя  отображать прямо на страница сведение о продукт клиент по розничный торговля в интернете  интернет контент мочь быть простым  как аннотация текста  описывать продукт  или столь же насыщенный и привлекательным  как полный набор маркетинговый текст с вспомогательный изображение и видео  фотогалереями  таблица данные и т д  элемент                                            360                                                                                                           4                                                                                                                   стать часть наш команды  вы предоставиться возможность работать на проект мировой уровень в команда высококлассный профессионалов  обязанности  составление и редактирование маркетинговый описание для различный вид компьютерный продукция на английский и французском итальянский язык обеспечение целостность изображение и базовый редактирование адаптация общий вид страница требования  отличный разговорный и письменный навык английский и французский языков  на уровень не ниже          отличный навык работа с пк общий понимание интернет технология умение хорошо ориентироваться в интернет умение работать в команда условия  работа носить технический характер работа предполагать активный коммуникация на иностранный язык работа не предполагать переводческий и преподавательский активность работа в стабильный компания в современный офис в центр москва комфортный офис в 5 минута пешком от м  павелецкий медицинский страховка и полис взр компенсация на питание и фитнес перспектива для профессиональный рост график работы  с 10 00 до 19 00,москва,  переводчик  ,  языки    компьютерный техника    письменный перевод    контент    маркетинг    копирайтер  ,  маркетинг  реклама        наука  образование    продажи    информационный технологии  интернет  телеком    административный персонал  
49729453,менеджер по работа с маркетплейс                    ,от 1 год до 3 год,полный день,  работа с больший объём информации    ведение отчетности    анализ продаж    аналитический мышление    подготовка отчетов    организация поставок    анализ данных    управление временем    работа в режим многозадачности    сводный таблицы    1с  предприятие 8    ассортиментный анализ  ,искать в команда специалиста  который готовый профессионально развиваться и расти вместе с задача компания на сам динамичный рынок             маркетплейсы  наш задачи  анализ динамика продаж  спрос и ключевой показатель на маркетплейс с фокусировка на еженедельный увеличение продажа выведение товар на лидировать позиции  наполнение карточка товар  описание  название  категории  ключевой слова   ежедневный анализ реклама  соотношение затрат доход с рекламы   настройка рекламы  организация система самовыкупов  работа с сервис самовыкупов  контроль своевременный подсортировки  отгрузка новинок  анализ  согласование и корректировка подсортов  разработка мероприятий  направить на увеличение объём продаж  управление ценообразованием  контроль остаток и оборачиваемости  клиентский поддержка  работа с отзыв и вопросами   анализ конкурент и эффективность собственный работа на маркетплейс с цель построение прогнозировать система продаж  планирование и выведение карточка в топ  вы к нам  если у вы есть  опыт успешный продажа на маркетплейс не менее 1 года  опыт работа с     опыт вывод товар в топ  умение анализировать отчеты  находить отклонения  выявлять точка роста  умение аргументировать свой точка зрения  опираться на аналитик и здравый смысл  опыт работа с сервис аналитики  владение       на уровень продвинуть пользователя  высокий уровень самоорганизация и ответственности  аналитический склад ума  внимательность  умение работать в режим многозадачности  креативность  гибкость  высокий коммуникативный навыки  мы предлагаем  работа в стильный            класс   бц  7      в команда любящий свой дело людей  достойный уровень дохода  всегда вовремя 2 раз в месяц  возможность за год вырасти в личный доход минимум в 2 раза  молодой и дружный коллектив  активный творческий среда для развития  кофемашин и сладость для поддержание высокий уровень ваш энергии  маленький собака корги  который почти жить в наш офис и быть иногда оказывать вы помощь в работе  официальный трудоустройство  уровень доход обсуждаться индивидуально с каждый кандидатом  в зависимость от навык и компетенций  и теперь  если вы внимательно прочесть вакансию  и решили  что хотеть с мы работать  указать в сопроводительный письмо ссылка на ваш личный инстаграм аккаунт и написать в отклике  я точно хотеть этот работа и готовый пройти дополнительный этап,москва,  координатор отдел продаж  ,  продажи    маркетинг    логистика    аналитик    интернет маркетинг  ,  информационный технологии  интернет  телеком    транспорт  логистика    маркетинг  реклама      
49889131,электромонтажник  сборщик шкаф управления ,от 1 год до 3 год,полный день,  комплектация    способность быстро обучаться    быстрообучаемый    опыт работа на производстве    3 группа по электробезопасности    монтаж оборудования    работа с электроинструментом    работа на высоте    автоматизация    готовность к командировкам    работа в команде  ,мы  молодой и быстрорастущий организация  заниматься задача в область построение новый система автоматизации  а также они модернизации  обслуживании  ремонт существующий автоматизированный система управление технологический процесс в различный область промышленности  такой как пищевой производство  производство упаковки  фармацевтики  и др   на различный этап производственный цикла  обязанности    сборка  монтаж кабеленесущий систем  укладка кабеля  маркировка  расключение    сборка шкаф управления  маркировка  тестирование  и т  д     монтаж на площадка заказчика    участие в пусконаладочный работа при необходимости    готовность к командировкам  требования    опыт работа по специальность приветствуется    готовность к командировка  основный объект в мо  гораздо редкий в более дальний регионах   возможный длительность до несколько недель    содержание в чистота рабочий места  сохранность инструмент приветствоваться качество соискателя    дисциплинированность    обучаемость    внимательность    аккуратность  условия    трудоустройство согласно тк рф    заработать плата  постоянный оклад от 50 000 рубль без учёт налогов  по итог собеседование и испытательный срока    командировочный от 1 000 рубль в сутки    оплата переработки    униформа от европейских  скандинавский производителей    обеспечение весь необходимый инструментом  оснастками  приспособлениями    комплектация весь необходимый материал для выполнение работ    основный место работа в шаговый доступность от м  южная ,москва,  электромонтажник  ,  информационный технологии    электромонтер  кабельщик    инженер  ,  информационный технологии  интернет  телеком    рабочий персонал    консультирование  
50042169,руководитель отдел продажа  2  услуга,от 3 до 6 год,полный день,   2  продажи    холодное продажи    деловой коммуникация    поиск и привлечение клиентов    активный продажи    телефонный переговоры           управление продажами  ,компания       мосгорэкспертиза       оказывать услуга  2  в область оценка недвижимость и судебный экспертизы  наш заказчик   собственник и руководитель офисных  торговый центр и другой коммерческий недвижимости м искать руководитель отдел продажа с опыт продажа  2  услуга  оспаривание кадастровый стоимости  оценка  аудит  консалтинг  аудит   опыт личный продажа обязателен  что нужно продавать   2  услуга собственник коммерческий недвижимость  оценочные  юридические  что от вы требуется  опыт в построение отдел продажа  холодное звонки  успешный опыт личный продажа профессиональный услуга владение навык переговоры и технология продаж  обучаемость   умение досконально разобраться в продукте  нацеленность на зарабатывание деньга для фирма и для себя опрятность в одежда  деловой стиль  что входить в обязанности  подбор менеджер по продажам  обучение и мотивация менеджеров  организация работа менеджер  привлечение клиент через холодное звонок по готовый базе  автоматизация бизнес процесс на база      личный продажи  встреча с клиентами  контроль исполнение заключить договоров  что мы предлагаем  работу  в который ваш заслуга оцениваться прямо пропорционально ваш результатам  достойный оклад     от личный продажа   бонус за успешный работа отдела  совокупно 100 000   250 000  потолок нет   оформление по тк рф  работа рядом с метро семеновская  пн пт с 9 00 до 18 00  в сопроводительный письмо расскажите  пожалуйста  немного о себе  свой опыте  почему хотеть работать с нами ,москва,  ,  услуга для бизнеса    прямая продажи    управление продажами    продажи    продажи    продажи  ,  информационный технологии  интернет  телеком    продажи    медицина  фармацевтика    высокий менеджмент  
45339340,технологический эксперт 1с в студенческий проект,нет опыт,полный день,  английский язык                    взаимодействие с вузами    1с  предприятие    1с специалист  ,в сотня вуз и колледж изучать технологический платформа 1с  на российский и международный студенческий соревнованиях  хакатонах  чемпионат             технология 1с использоваться как инструмент разработка бизнес приложение и сложный интегрировать систем  мы искать в команда молодёжный проект профессионала  который интересно участвовать в продвижение и развитие технология 1с  обязанности  участие в разработка и оценка конкурсный задание для студенческий соревнование разный уровней  разработка и проведение мастер класс и учебный курс по новый возможность технологический платформа 1с  подготовка студент к выступление на профессиональный чемпионат по разработка бизнес приложений  в тот число международных  требования  знание и умение разрабатывать и дорабатывать бизнес приложение 1с на уровень 1с специалист по платформа  в случай отсутствие сертификат желательно сдать экзамен в время испытательный срока  желание постоянно изучать новый возможность и механизм платформы  знание базовый технология проектирование и тестирование информационный систем  хороший понимание архитектура 1с предприятие  желание развивать в себя навык популяризатор технологий  готовность много общаться с разработчиками  преподавателями  студентами  готовность помогать создавать и улучшать образовательный программа по технология 1с для студент и молодой специалистов  готовность к командировкам  приветствоваться знание английский языка  условия  есть возможность удалённый работы  расширить социальный пакет  хорошо решить вопрос медицинский обслуживание  страхования   питания  проезда  спорта   опыт работа с талантливый профессионалами  у который есть что научиться  стабильный и конкурентоспособный заработный плату  современный комфортный офис в 5 ти минута ходьба от м  тимирязевская  зона отдых и кофе поинты  бесплатный охранять парковка на территория офиса ,москва,  аналитик  ,  информатика  информационный системы    информационный технологии    программирование  разработка    управление проектами    технический писатель    продвижение  специальный мероприятия  ,  консультирование    информационный технологии  интернет  телеком    наука  образование    маркетинг  реклама      
50041505,руководитель проект                  ,от 1 год до 3 год,полный день,  работа в команде           работа с база данных                      статистический анализ  ,обязанности  анализ бизнес процесс в банк и формирование предложение по они оптимизации  сбор параметр необходимый для мониторинг эффективность продаж  постановка задача отдел разработка с цель получение необходимый параметров  анализ статистический данные       база данных  в часть продажа в онлайн каналах  воронка продажа на каждый этап работа с продуктом  отчётность по продажам  проведение бизнес исследований  коммуникация с бизнес заказчиками  требования  навык работа с      опыт работа с       опыт работа в банк с аналогичный функционал от 2 й лет  условия  уровень доход оговариваться на собеседовании  оформление по тк рф  график работы  5 2  9 00  18 00  пят  до 16 45  предоставление дмс после испытательный срок   3 месяца  офис располагаться в шаговый доступность  1 мин   от ст  м  преображенский площадь  бц       прео8         корпоративный скидка сотрудник от компаний партнеров ,москва,  руководитель проектов  ,  аналитик    продажи    аналитик    продажи    коммерческий банк    прямая продажи  ,  информационный технологии  интернет  телеком    высокий менеджмент    продажи    банки  инвестиции  лизинг  
49328465,продюсер онлайн трансляций               ,от 1 год до 3 год,полный день,                     клиентоориентированность    копирайтинг    английский язык                          управление командой  ,ты должный уметь организовать и провести многокамерный онлайн трансляция иливебинар с удалённый подключение спикера  сформировать тз для технический команды забрифовать дизайнер на создание пакет эфирный графики  организовать тестирование спикеров  также вести сметы  подбирать релевантный референсы  иоптимизировать бюджет без потеря качество выходной продукта  обязанности  ведение проект   научный медицинский конгрессы  конференции  круглый столы  школы  вебинар в формат онлайн и гибрид  редко   подбор площадка и поставщиков  работа с подрядчиками  составление первичный смета и адаптация она под проект  разработка фирменный стиль мероприятие  совместный с дизайнером   реализация проект на площадке  работа с документ  совместный с отдел документооборота  и финансовый закрытие проектов  работа с участник мероприятия  информационный рассылка по рабочий базе  сопровождение участников  работа с       отдел по вопрос составление кп и привлечение спонсоров  технический организация запрос и услуга компания спонсор в рамка мероприятия  функционал  выстраивание процесс организация онлайн трансляция мероприятие внутри агентства  полноценный продуктивный работа на общий результат с другой департамент             документооборот  продажи   работа с пул подрядчик и фрилансеров  подбор команда под проект  определение задания  подбор подрядчиков  оценка условий  качественный работа по оптимизация смета в поиск золотой середины  участие в разработка идея и поиск хороший возможность для они реализации  мониторинг и ведение календарь мероприятие компании  контроль весь этап реализация проекта  организационный поддержка спикер в время мероприятия  поиск релевантный мероприятие на рынок и ведение календарь событий  требования  знание рынок  тех  команды  узкий специалист  застройщики  дизайнеры  инженеры  видеооператоры  монтажёр и т д    знание процесс работы  этапов  нюанс и  подводный камней   необходимый для реализация проектов  умение работать с больший объём информация и задач  уверенный работа с              таск менеджерами  знание по         быть хороший преимуществом  аккуратность  структурность в работа с документами информацией  грамотный письменный и устный речь  хороший коммуникативный навыки  проактивность и самостоятельность ,москва,  продюсер  ,  арт директор    контент    управление проектами    организация встреч  конференций    продвижение  специальный мероприятия  ,  информационный технологии  интернет  телеком    туризм  гостиницы  рестораны    маркетинг  реклама      
48403326,преподаватель по курс  создание интернет магазина  онлайн ,от 1 год до 3 год,гибкий график,  обучение и развитие    работа в команде    грамотный речь    преподаватель    продажа через интернет  ,федеральный группа образовательный компания       эдутех  занимать лидировать позиция в сегмент дополнительный образование в россия и за рубежом  более 10 год мы динамично развиваться и приумножать наш достижения  использовать только инновационный метод в обучении  мы есть чем гордиться  4 проект федеральный уровень более 65 учебный центр по весь россии  12 школа в страна снг и один уц в лондон не только стандартный групповой занятие в уц  но и продвинуть онлайн проект с аудитория мировой масштаб топ 50 франшиза по версия рбк более 200 000 довольный ученик сплотить команда высококлассный специалист мы нацелить быть лидер в сфера услуга дополнительный обучения  повышать качество и уровень образование по весь миру  мы активно развиваться и расширяемся  поэтому приглашать в команда настоящий специалист свой дело на вакансия  преподаватель по курс       создание интернет магазина       онлайн  в один из наш проект   международный школа профессия график плавать   возможность совмещать с основной работа что нужно делать  проводить теоретический и практический занятие по курс  школа предоставлять готовый программа для обучения   подготавливать необходимый материал для проведение занятий  проверять домашний работу  разбирать ошибки  консультировать ученик по вопрос курса  ваш главный преимущества  желание работать в роль наставник  рассмотреть кандидат без опыт в преподавании   грамотный устный речь  умение доступно излагать свой мысли  любовь к человек и общение с ними  желание делиться опытом  опыт использование интернет площадка для продажа товаров  опыт использование источник трафик для привлечение клиентов  умение анализировать рынок  конкурент и ца  навык разработка маркетинговый онлайн кампания для продажа товар в интернете  с свой сторона мы предлагаем  стабильный и своевременный заработный плату почасовый оплата премия   частичный занятость до 10 час в месяц  работа в крупный компания с федеральный значением  молодой и дружный коллектив  который всегда поддержит  расходный материалы  готовый программа обучения  группа заинтересованный учеников  быстрый и эффективный система адаптация и ввод в должность  преподавателя   взаимодействие с профессионал свой дела  возможность реализоваться  развивать программа обучение вместе с нами  повышать качество обучения  участие в внутренний конкурс компания с ценный призами ,санкт петербург,  режиссер  сценарист  ,  услуга для бизнеса    другое    продажи    электронный коммерция                            интернет маркетинг  ,  информационный технологии  интернет  телеком    маркетинг  реклама        продажи    консультирование  
50041018,руководитель проект развитие технология    ,от 1 год до 3 год,полный день,                                                  аналитический мышление  ,обязанности  разработка  планирование  подготовка выборка и запуск     кампания  новых  регулярный и триггерных  для улучшение ключевой метрика клиентский сегмент через различный канал коммуникация                              и проч    формирование продуктовый гипотез  автоматизация и улучшение текущий процессов  аналитика  анализ эффективность маркетинговый кампаний  анализ обратный связь от смежный подразделений  выступать заказчик маркетинговый кампаний  участие в разработка план кампания совместно с     командой  генерация идей  направить на улучшение целевой показателей  требования  высокий образование  опыт работа в аналитический подразделение банк  от 1 года   знание современный веб технология и         трендов  знание область     маркетинга  обязательный знание                написание сложный запросов  опыт написание процедур  пакет быть плюсом  желательный опыт работа с система                      преимущество быть знание          знание       на высокий уровне  знание          быть плюсом  умение делать вывод на основа данных  интерпретировать результаты  знание специфика работа компания отрасль малое и среднее бизнес быть плюсом  мы предлагать вам  стать часть крупного  динамично развивающийся банка  работа в команда единомышленников  неравнодушный к передовой технология и практикам  неограниченный возможность для совершенствование ваш навык и знаний  обучаться у хороший и решать сверхамбициозный задачи  позитивный рабочий атмосферу  дружный коллектив  удобный расположение офисов  достойный и конкурентный заработный плату  квартальный и годовой премии  размер который зависеть от результат ваш работы  разнообразный социальный пакет  дмс  страхование жизни  страхование для выезжать за границу  льготный условие приобретение банковский продуктов  скидка в фитнес клуб и в компаниях партнерах ,москва,  руководитель группа разработки  ,  аналитик    отчетность    кредитование малое и среднее бизнеса    экономист    аналитик    финансы  банки  инвестиции  ,  информационный технологии  интернет  телеком    начало карьеры  студенты    банки  инвестиции  лизинг  
48303380,инженер монтажник волс  колтуши ,от 1 год до 3 год,полный день,  видеонаблюдение    чтение чертежей    проектирование трасс    монтажник волс    сварщик волс    кабельщик спайщик    монтажник оптики    монтажник слаботочник    монтажник скс    сварщик оптики    колтуши    разметелево    монтажник        янино  ,интернет провайдер ньюлинк для работа по всеволожский район ленинградский область требоваться инженер монтажник волс  компания автомобиль не предоставляет  требования  опыт работа по прокладка и монтаж волс и скс  умение работать с чертёж и схемами  готовность к разъездной характер работа в всеволожский район  колтуши  разметелево   обязанности  прокладка кабель волс по опор лэп и грунт в загородный посёлок и снт всеволожский района  проектирование новый трасс  оценка технический возможность и сложность подключение новый абонентов  подключение новый абонентов  ввод кабель в дом и сварка вок  при необходимость разводка скс  организация видеонаблюдение и пр  выявление и устранение неисправность  обрыв вок  на сеть и в дом абонентов  условия  полный занятость 5 2 с 10 00 до 19 00  заработный плата   50 000 рубль в месяц  оклад   компенсация гсм 7000 рубль в месяц  премия за подключение новый абонентов  выполнение работа по видеонаблюдение 10 000   20 000 рубль в месяц и выше  доплата за работа в выходной и праздничный дни  корпоративный сотовый связь ,санкт петербург,  сервисный инженер  механик  ,  электромонтер  кабельщик    монтажник    инсталляция и настройка оборудования    телекоммуникации    рабочий строительный специальностей  ,  информационный технологии  интернет  телеком    строительство  недвижимость    рабочий персонал    инсталляция и сервис  
49989701,мастер по ремонт телефон   начинающий специалист,нет опыт,полный день,  ,крупный    компания приглашать активный и способный кандидат на позиция  помощник мастер по ремонт телефон               опыт работа мастер по ремонт телефон необязательный   мы проводить полный курс обучения  давать весь соискатель реальный возможность начать карьера в сфера     это касаться как человек из смежный отраслей  так и кандидат с небольшой опытом  существенный успех добиваться специалисты  иметь ранее опыт работа с клиентами  например  продавец консультант  официант  бармен  риэлтор  менеджер по продажам  условия  гарантированно от 3 й до 5 заказ в день  ежедневный выплата 30  с каждый заказ  с один заказ от 1500 руб  на руки   график работа на испытательный срок 5 2  после испытательный срок можно перейти на гибкий график  инструмент и расходный материал предоставляются  собственный склад и служба снабжения  вы экономить время на поиск и закупка комплектующих  возможность удалённый отчитывание   без визит в офис  из что состоять работа  диагностика неисправность и произведение ремонт        и       ремонт модульный  без пайки   находить с человек общий язык  объяснять причина неисправностей  давать советы  консультирование по дополнительный услуга компании  что требоваться от тебя  если твой цель   работать и зарабатывать  приходить к мы на собеседование  мы не требовать опыт и предоставлять возможность бесплатно обучиться весь тонкость модульный ремонт внутри компании ,москва,  сервисный инженер  механик  ,  информационный технологии  интернет  мультимедиа    административный персонал    продажи    сервисный инженер    сотовые  беспроводный технологии    начальный уровень  мало опыта  ,  начало карьеры  студенты    информационный технологии  интернет  телеком    инсталляция и сервис    продажи  
